country,year,country_period_ret,n_days,avg_n_tickers,min_n_tickers,max_n_tickers,country_period_ret_pct
AT,2000,0.05161293360460428,259.0,1.0,1.0,1.0,5.161293360460428
AT,2001,0.055214683073550486,261.0,1.0,1.0,1.0,5.521468307355049
AT,2002,0.04825576802849385,261.0,1.0,1.0,1.0,4.825576802849385
AT,2003,0.05934576145964687,261.0,1.0,1.0,1.0,5.934576145964687
AT,2004,0.04973819835001958,262.0,1.0,1.0,1.0,4.973819835001958
AT,2005,0.05209879036812026,260.0,1.0,1.0,1.0,5.209879036812026
AT,2006,0.05257710776847646,257.0,1.0,1.0,1.0,5.257710776847646
AT,2007,-0.3080055519472691,247.0,1.0,1.0,1.0,-30.800555194726908
AT,2008,-0.7254901566730407,250.0,1.0,1.0,1.0,-72.54901566730408
AT,2009,0.8809525763892005,249.0,1.0,1.0,1.0,88.09525763892006
AT,2010,0.507594359678696,249.0,1.0,1.0,1.0,50.75943596786961
AT,2011,-0.30419802974148147,248.0,1.0,1.0,1.0,-30.419802974148148
AT,2012,0.3255977639598764,247.0,1.0,1.0,1.0,32.55977639598764
AT,2013,0.27547894647424775,248.0,1.0,1.0,1.0,27.547894647424776
AT,2014,0.2394736667105566,248.0,1.0,1.0,1.0,23.947366671055658
AT,2015,0.11600487458000153,248.0,1.0,1.0,1.0,11.600487458000153
AT,2016,0.07147271096400742,248.0,1.0,1.0,1.0,7.147271096400742
AT,2017,0.5042841728787872,251.0,1.0,1.0,1.0,50.42841728787872
AT,2018,0.10069941433310858,249.0,1.0,1.0,1.0,10.06994143331086
AT,2019,0.39333444760443736,246.0,1.0,1.0,1.0,39.33344476044374
AT,2020,-0.13117504028916782,253.0,1.0,1.0,1.0,-13.117504028916782
AT,2021,0.1607339762022617,254.0,1.0,1.0,1.0,16.07339762022617
AT,2022,-0.059401350405869136,255.0,1.0,1.0,1.0,-5.940135040586913
AT,2023,0.30146398151139864,254.0,1.0,1.0,1.0,30.146398151139863
AT,2024,-0.26220489573957906,254.0,1.0,1.0,1.0,-26.220489573957906
